time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-20T23:34:02.458Z,43.0299,17.9569,9.97,3.2,ml,,60,1.132,0.73,us,us60005lp0,2019-09-21T21:32:22.205Z,"6km S of Stolac, Bosnia and Herzegovina",earthquake,6.6,12.1,0.051,50,reviewed,us,us
2019-09-19T19:43:09.590Z,41.3585,83.8336,10,4.5,mb,,83,4.211,0.44,us,us60005l30,2019-10-01T19:08:08.040Z,"85km ESE of Kuqa, China",earthquake,8.7,1.1,0.113,23,reviewed,us,us
2019-09-19T18:33:16.775Z,37.6034,20.703,10.32,4.7,mb,,97,1.061,0.82,us,us60005l2f,2019-10-01T19:06:31.972Z,"17km SW of Mouzaki, Greece",earthquake,6.8,5.2,0.09,37,reviewed,us,us
2019-09-17T19:29:56.434Z,35.3317,46.2297,16.09,4.6,mb,,60,0.469,0.92,us,us70005hlq,2019-10-22T20:57:45.040Z,"27km NE of Halabjah, Iraq",earthquake,5.2,3.9,0.054,102,reviewed,us,us
2019-09-17T11:04:19.524Z,36.5095,70.6811,198.86,4.2,mb,,77,1.285,0.62,us,us70005hg0,2019-10-13T13:21:33.040Z,"41km SSW of Jarm, Afghanistan",earthquake,7,4.6,0.141,14,reviewed,us,us
2019-09-16T20:03:22.415Z,27.5961,56.3791,10,4.3,mb,,112,2.644,1.25,us,us70005h8e,2019-09-24T18:02:20.040Z,"46km NNE of Bandar 'Abbas, Iran",earthquake,8.4,1.9,0.083,41,reviewed,us,us
2019-09-16T16:58:49.082Z,36.566,50.0151,10,4.4,mb,,173,3.776,0.57,us,us70005h6u,2019-09-24T19:53:51.162Z,"31km N of Qazvin, Iran",earthquake,10.7,1.9,0.149,14,reviewed,us,us
2019-09-16T16:55:41.986Z,27.6148,56.3437,10,4.5,mb,,105,2.661,0.93,us,us70005h57,2019-10-12T10:45:44.319Z,"47km N of Bandar 'Abbas, Iran",earthquake,7.4,1.9,0.094,33,reviewed,us,us
2019-09-16T14:33:25.773Z,29.691,80.7419,10,4.5,mb,,165,5.597,0.47,us,us70005h21,2019-09-24T18:28:06.899Z,"26km SE of Darchula, Nepal",earthquake,8.9,1.8,0.151,13,reviewed,us,us
2019-09-16T12:56:57.713Z,31.3802,51.1235,10,4.6,mb,,77,3.407,0.58,us,us70005h11,2019-10-07T12:21:12.040Z,"42km W of Semirom, Iran",earthquake,5.3,1.9,0.122,20,reviewed,us,us
